CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
08-01-0106-46,08-001,TOTONICAPAN,TOTONICAPAN,ESCUELA NORMAL NACIONAL RURAL DE OCCIDENTE GUILLERMO OVANDO ARRIOLA,ZONA 5 PARAJE PARRAMON,77664609,MIGUEL AJPOP V�SQUEZ,OTTO GILBERTO AMADO TELLO,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAP�N
08-01-0107-46,08-024,TOTONICAPAN,TOTONICAPAN,"COLEGIO MIXTO PARTICULAR ""JUAN FRANKLIN""",3A CALLE 12-08 ZONA 2,77661920,MIGUEL AJPOP VASQUEZ,JOS� LUIS IXCAQUIC AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAP�N
08-01-0201-46,08-023,TOTONICAPAN,TOTONICAPAN,INSTITUTO NACIONAL DE EDUCACION CICLO DIVERSIFICADO,"PARAJE XECOXOM I, ALDEA PAXTOCA",45293003,SALOM�N ANASTACIO GARC�A BULUX,BENJAMIN RAFAEL TZUNUN CUA,DIVERSIFICADO,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAP�N
08-01-0203-46,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO PRIVADO MIXTO LA FAMILIA,6A AVENIDA 1-47 ZONA 1,77667184,MIGUEL AJPOP VASQUEZ,NICOL�S IGNACIO AJUCUM L�PEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAP�N
08-01-0212-46,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO PRIVADO MIXTO EL SHADAI,"8A CALLE 5-00, ZONA 4,",47335749,MIGUEL AJPOP VASQUEZ,JESUS CRISTINA LOPEZ TZOC,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAP�N
08-01-0214-46,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO PRIVADO MIXTO LA FAMILIA,6A AVENIDA 1-47 ZONA 1,77667184,MIGUEL AJPOP VASQUEZ,HIGINIO DAVID JU�REZ RODR�GUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAP�N
08-01-0217-46,08-003,TOTONICAPAN,TOTONICAPAN,"INSTITUTO MIXTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA, K AK NO JIB AL",ALDEA CHUATROJ,57377254,GLADYS ESPERANZA PACHECO GUTIERREZ,VICTOR FELIPE BAQUIAX PUAC,DIVERSIFICADO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAP�N
08-01-0222-46,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO PRIVADO MIXTO LA FAMILIA,6A AVENIDA 1-47 ZONA 1 TOTONICAP�N,77667184,MIGUEL AJPOP VASQUEZ,HIGINIO DAVID JU�REZ RODR�GUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),TOTONICAP�N
08-01-0227-46,08-001,TOTONICAPAN,TOTONICAPAN,COLEGIO PREUNIVERSITARIO JERUSALEN,"PARAJE XENAJTAJUYUP, CANT�N CHIYAX",47047663,MIGUEL AJPOP V�SQUEZ,JES�S ENCARNACI�N PUAC CHAMORRO,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAP�N
08-01-0229-46,08-001,TOTONICAPAN,TOTONICAPAN,COLEGIO PRIVADO MIXTO LA SEMILLA,"11 AVENIDA 2-40 ZONA 2, TOTONICAP�N",77667181,MIGUEL AJPOP V�SQUEZ,KARLA ISELA L�PEZ BULUX,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAP�N
